tf	group	metric	n_peaks	mean	median	mean_diff	signed_effect	mw_u_stat	mw_pvalue	log10_pvalue	rank	q	category	ctx
USF1	architectural	lacuna_at	451	0.0796531469033157	0.074074074074074	0.0107596095154181	0.0107596095154181	274316.5	6.731888796245753e-05	4.17186306672707	7	0.0024594471881801997	architectural_universal	distal
KLF5	architectural	lacuna_at	883	0.0775032483036533	0.0714285714285714	0.0086097109157557	0.0086097109157557	524042.5	0.0001187056533105	3.9255285974470735	9	0.0024594471881801997	germline_late_active	distal
EGR1	other	lacuna_at	1207	0.0769284872856512	0.0714285714285714	0.0080349498977537	0.0080349498977537	710340.5	0.0001577715717271	3.8019712479849854	10	0.0024594471881801997	architectural_universal	distal
HIF1A	other	lacuna_at	513	0.0778888246704694	0.0714285714285714	0.0089952872825718	0.0089952872825718	308305.5	0.0001866156465759	3.729051946137605	11	0.0024594471881801997	architectural_universal	distal
KLF4	architectural	lacuna_at	1328	0.0761023642972036	0.0689655172413793	0.0072088269093061	0.0072088269093061	779181.5	0.0001979964863006	3.703342516777672	12	0.0024594471881801997	germline_late_active	distal
TBX5	other	lacuna_at	1197	0.0763135752657826	0.0714285714285714	0.0074200378778851	0.0074200378778851	703339.0	0.0002126358965345	3.672363417372082	13	0.0024594471881801997	dev_gene_associated	distal
EGR4	other	lacuna_at	1045	0.0769176879030931	0.0689655172413793	0.0080241505151956	0.0080241505151956	615079.0	0.0002480430484262	3.605472939853021	14	0.0024594471881801997	germline_late_active	distal
MYC	architectural	lacuna_at	847	0.0771890797141611	0.0714285714285714	0.0082955423262636	0.0082955423262636	500536.5	0.0002732719097978	3.5634050080686275	15	0.0024594471881801997	architectural_universal	distal
KLF6	other	lacuna_at	1158	0.0765124107950721	0.0714285714285714	0.0076188734071746	0.0076188734071746	678652.5	0.0003616588919224	3.441700852658999	17	0.0027700419751368545	architectural_universal	distal
SP1	architectural	lacuna_at	996	0.0767183008563649	0.0689655172413793	0.0078247634684673	0.0078247634684673	585282.0	0.0003761785398334	3.424605983633503	18	0.0027700419751368545	architectural_universal	distal
CTCFL	architectural	lacuna_at	1410	0.0757328819698571	0.0689655172413793	0.0068393445819596	0.0068393445819596	822897.5	0.0004158631102095	3.381049602700667	19	0.002807075993914125	germline_late_active	distal
PRDM9	pachytene	lacuna_at	909	0.0771463187447522	0.0689655172413793	0.0082527813568547	0.0082527813568547	534470.0	0.0004609092987679	3.336384529968608	20	0.002871819476938454	germline_late_active	distal
TFAP2A	other	lacuna_at	704	0.077088225538073	0.0705980066445182	0.0081946881501754	0.0081946881501754	415951.0	0.0005416108545183	3.2663126404636063	21	0.0031336056582844498	dev_gene_associated	distal
WT1	sertoli	lacuna_at	1147	0.0759048197666263	0.0714285714285714	0.0070112823787288	0.0070112823787288	668836.0	0.0008156979126436	3.088470649043226	22	0.00440476872827544	dev_gene_associated	distal
E2F1	architectural	lacuna_at	537	0.0765073542913045	0.0714285714285714	0.0076138169034069	0.0076138169034069	318306.5	0.0009236869752743	3.0344751802337675	23	0.004676165312326144	architectural_universal	distal
NR5A1	sertoli	lacuna_at	548	0.0760440060749896	0.0689655172413793	0.0071504686870921	0.0071504686870921	321587.0	0.0027739285023519	2.55690473700252	25	0.013216953452382581	dev_gene_associated	distal
MAX	architectural	lacuna_at	423	0.0772535517188733	0.0689655172413793	0.0083600143309758	0.0083600143309758	249826.5	0.0030194533668362	2.520071673352257	26	0.0135875401507629	architectural_universal	distal
ELF1	architectural	lacuna_at	940	0.0749944616851285	0.0666666666666666	0.006100924297231	0.006100924297231	544529.0	0.0032807075396269	2.4840324832949534	27	0.0139861742478831	architectural_universal	distal
NR5A2	pachytene	lacuna_at	588	0.0758829887946001	0.0701970443349753	0.0069894514067026	0.0069894514067026	343078.0	0.0043040413362068	2.3661235663378712	29	0.01743136741163754	dev_gene_associated	distal
TBX2	other	lacuna_at	677	0.0754569355478976	0.0714285714285714	0.0065633981600001	0.0065633981600001	393549.5	0.0045823510431929	2.338911643587954	30	0.017674782595172616	dev_gene_associated	distal
